review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000029,ORD-20251207-167378,CUST-10243,REST-SHJ-001,Perfect in every way! Rasmalai (2 pcs) were all excellent. Rasmalai (2 pcs) stood out with its rich  authentic taste.,5,2025-12-12T19:53:15.285265
REV-000034,ORD-20251214-476231,CUST-10072,REST-SHJ-001,Enjoyed the Chicken Seekh Kebab  Naan  and Paneer Butter Masala! Chicken Seekh Kebab was very good. Portion sizes were generous. Recommend!,4,2025-12-15T14:08:49.285265
REV-000033,ORD-20251214-574716,CUST-10222,REST-AUH-001,Perfect in every way! Gulab Jamun (2 pcs)  Chicken Biryani  Naan  Mango Lassi  and Sweet Lassi were all excellent. Naan stood out with its rich  authentic taste.,5,2025-12-16T10:36:55.285265
REV-000035,ORD-20251214-864328,CUST-10333,REST-DXB-001,Exceptional quality! Ordered Palak Paneer and everything was delicious. The Palak Paneer melted in my mouth. Perfect!,5,2025-12-16T19:40:59.285265
REV-000032,ORD-20251211-494458,CUST-10361,REST-AUH-002,Hands down the best Palak Paneer I've ever had! Palak Paneer were all prepared beautifully. Fresh and flavorful!,5,2025-12-18T17:14:14.285265
REV-000037,ORD-20251218-596825,CUST-10389,REST-AUH-002,Perfect in every way! Butter Naan  Sweet Lassi  Paneer Tikka  and Kulfi were all excellent. Paneer Tikka stood out with its rich  authentic taste.,5,2025-12-21T14:11:44.285265
REV-000036,ORD-20251217-674068,CUST-10107,REST-DXB-001,Good quality food. Chole Bhature and Kulfi were nicely done. Chole Bhature could have been slightly spicier but still good!,4,2025-12-23T16:05:56.285265
REV-000039,ORD-20251224-963715,CUST-10447,REST-AUH-001,Mediocre. Chicken Biryani were fine but forgettable. Chicken Biryani didn't stand out.,3,2025-12-26T20:41:29.285265
REV-000038,ORD-20251223-191152,CUST-10045,REST-DXB-001,Wow! Just wow! Malai Kofta and Chicken Tikka Masala were all fantastic. Chicken Tikka Masala was particularly memorable. Can't wait to order again!,5,2025-12-29T15:41:14.285265
REV-000041,ORD-20251228-774266,CUST-10269,REST-DXB-002,It was okay. Sweet Lassi and Chicken 65 arrived lukewarm. Sweet Lassi tasted fine but could be better.,3,2025-12-29T20:39:13.285265
REV-000040,ORD-20251226-956635,CUST-10182,REST-AUH-001,Mixed feelings. Mango Lassi  Chicken 65  and Sweet Lassi were acceptable. Sweet Lassi was decent but portion was small for the price.,3,2026-01-01T12:40:41.285265
REV-000042,ORD-20251230-323943,CUST-10160,REST-DXB-002,Absolutely amazing Samosa (2 pcs) and Garlic Naan! The Samosa (2 pcs) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-05T12:23:06.285265
REV-000044,ORD-20260104-419772,CUST-10458,REST-DXB-002,Best Indian food in UAE! Garlic Naan  Masala Chai  Paneer Tikka  and Butter Naan were incredible. Paneer Tikka had the perfect balance of spices. Five stars!,5,2026-01-05T22:46:00.285265
REV-000043,ORD-20260102-435192,CUST-10434,REST-AUH-002,Best Indian food in UAE! Jeera Rice  Masala Chai  Fresh Lime Soda  and Gajar Halwa were incredible. Gajar Halwa had the perfect balance of spices. Five stars!,5,2026-01-07T22:21:57.285265
REV-000045,ORD-20260106-148656,CUST-10165,REST-AUH-001,Exceptional quality! Ordered Chole Bhature and everything was delicious. The Chole Bhature melted in my mouth. Perfect!,5,2026-01-09T22:40:47.285265
REV-000046,ORD-20260118-811634,CUST-10401,REST-DXB-001,Best Indian food in UAE! Chicken 65 were incredible. Chicken 65 had the perfect balance of spices. Five stars!,5,2026-01-23T10:52:05.285265
REV-000048,ORD-20260119-729882,CUST-10144,REST-AUH-002,Incredible meal! Mango Lassi  Vegetable Biryani  and Kulfi arrived hot and fresh. The Kulfi was absolutely divine. Highly satisfied!,5,2026-01-23T15:09:58.285265
REV-000049,ORD-20260121-571710,CUST-10392,REST-DXB-001,Great food overall. Palak Paneer  Gajar Halwa  Chicken Biryani  and Samosa (2 pcs) were tasty  especially the Gajar Halwa. Would order again!,4,2026-01-25T15:44:16.285265
REV-000047,ORD-20260118-506706,CUST-10077,REST-DXB-001,Decent food but nothing special. Dal Makhani  Jeera Rice  Gajar Halwa  and Chicken 65 were okay. Chicken 65 lacked the punch I expected.,3,2026-01-25T16:04:40.285265
REV-000051,ORD-20260126-964711,CUST-10313,REST-DXB-002,Pleasant meal! Sweet Lassi  Tandoori Roti  Rasmalai (2 pcs)  and Paneer Butter Masala arrived warm. Tandoori Roti was tasty though not exceptional. Would order again.,4,2026-01-28T20:03:42.285265
REV-000050,ORD-20260126-699264,CUST-10405,REST-SHJ-001,Not good. Mango Lassi  Chole Bhature  Aloo Tikki Chaat  and Dal Makhani arrived late and cold. Aloo Tikki Chaat had barely any flavor. Poor quality.,2,2026-02-01T10:30:37.285265
REV-000053,ORD-20260131-485073,CUST-10000,REST-AUH-002,Incredible meal! Paneer Butter Masala  Kulfi  and Gulab Jamun (2 pcs) arrived hot and fresh. The Paneer Butter Masala was absolutely divine. Highly satisfied!,5,2026-02-02T11:51:42.285265
REV-000052,ORD-20260130-911014,CUST-10120,REST-DXB-002,Solid experience. Butter Naan  Gajar Halwa  Paneer Tikka  and Fresh Lime Soda were well-prepared. Gajar Halwa had great flavor. Minor issues with packaging.,4,2026-02-04T17:42:39.285265
REV-000055,ORD-20260204-299228,CUST-10262,REST-AUH-002,Wow! Just wow! Garlic Naan  Sweet Lassi  and Lamb Rogan Josh were all fantastic. Garlic Naan was particularly memorable. Can't wait to order again!,5,2026-02-06T18:14:07.285265
REV-000054,ORD-20260203-515292,CUST-10121,REST-AUH-001,Enjoyed the Kulfi! Kulfi was very good. Portion sizes were generous. Recommend!,4,2026-02-09T14:14:16.285265
REV-000056,ORD-20260205-159513,CUST-10057,REST-DXB-002,Solid experience. Mango Lassi and Sweet Lassi were well-prepared. Mango Lassi had great flavor. Minor issues with packaging.,4,2026-02-12T16:27:27.285265
REV-000057,ORD-20260213-414619,CUST-10021,REST-SHJ-001,Best Indian food in UAE! Chicken 65  Chicken Tikka Masala  Fresh Lime Soda  Garlic Naan  and Vegetable Biryani were incredible. Vegetable Biryani had the perfect balance of spices. Five stars!,5,2026-02-16T21:21:40.285265
REV-000058,ORD-20260219-665867,CUST-10366,REST-AUH-002,Outstanding experience! The Rasmalai (2 pcs)  Kulfi  Palak Paneer  and Mango Lassi exceeded all expectations. Rasmalai (2 pcs) was the star of the meal. Will definitely order again!,5,2026-02-21T21:22:24.285265
REV-000061,ORD-20260226-926627,CUST-10026,REST-AUH-002,Great food overall. Dal Makhani  Sweet Lassi  and Mango Lassi were tasty  especially the Mango Lassi. Would order again!,4,2026-02-27T17:05:17.285265
REV-000059,ORD-20260220-996904,CUST-10436,REST-AUH-002,Wow! Just wow! Jeera Rice were all fantastic. Jeera Rice was particularly memorable. Can't wait to order again!,5,2026-02-27T19:43:46.285265
REV-000060,ORD-20260224-234981,CUST-10078,REST-DXB-001,Outstanding experience! The Sweet Lassi and Chicken 65 exceeded all expectations. Chicken 65 was the star of the meal. Will definitely order again!,5,2026-03-03T11:41:59.285265
REV-000062,ORD-20260302-233337,CUST-10066,REST-AUH-001,Really good Samosa (2 pcs)  Kulfi  and Fish Curry! The Samosa (2 pcs) was delicious. Slight delay in delivery but food quality made up for it.,4,2026-03-05T14:22:15.285265
REV-000064,ORD-20260319-604523,CUST-10074,REST-AUH-002,Solid experience. Fresh Lime Soda  Fish Curry  Masala Chai  Palak Paneer  and Butter Chicken were well-prepared. Fish Curry had great flavor. Minor issues with packaging.,4,2026-03-20T22:27:15.285265
REV-000065,ORD-20260322-812466,CUST-10326,REST-DXB-002,Enjoyed the Chicken Tikka Masala  Butter Chicken  Paneer Butter Masala  Chicken Seekh Kebab  and Aloo Tikki Chaat! Chicken Tikka Masala was very good. Portion sizes were generous. Recommend!,4,2026-03-23T21:23:30.285265
REV-000063,ORD-20260317-813810,CUST-10433,REST-DXB-002,Hands down the best Chicken Biryani I've ever had! Chicken Biryani  Paneer Tikka  and Fresh Lime Soda were all prepared beautifully. Fresh and flavorful!,5,2026-03-24T18:40:31.285265
REV-000066,ORD-20260329-471923,CUST-10174,REST-DXB-002,Solid experience. Sweet Lassi  Samosa (2 pcs)  and Chicken Seekh Kebab were well-prepared. Chicken Seekh Kebab had great flavor. Minor issues with packaging.,4,2026-04-01T14:32:09.285265
REV-000068,ORD-20260330-892805,CUST-10092,REST-SHJ-001,Expected better. Aloo Tikki Chaat  Rasmalai (2 pcs)  Mango Lassi  and Butter Chicken were subpar. Butter Chicken was too oily and greasy. Stomach upset followed.,2,2026-04-02T20:24:58.285265
REV-000067,ORD-20260330-370415,CUST-10249,REST-AUH-001,Perfect in every way! Fresh Lime Soda were all excellent. Fresh Lime Soda stood out with its rich  authentic taste.,5,2026-04-06T17:01:39.285265
